"Date","Price","Open","High","Low","Vol.","Change %"
"02/19/2009","4,215.21","4,212.71","4,275.09","4,189.16","","0.24%"
"02/18/2009","4,204.96","4,229.53","4,255.39","4,124.11","","-0.28%"
"02/17/2009","4,216.60","4,329.35","4,329.70","4,195.22","","-3.44%"
"02/16/2009","4,366.64","4,386.46","4,421.78","4,359.29","86.11M","-1.06%"
"02/13/2009","4,413.39","4,458.74","4,508.72","4,397.60","","0.13%"
"02/12/2009","4,407.56","4,518.68","4,518.68","4,371.47","","-2.70%"
"02/11/2009","4,530.09","4,491.72","4,539.22","4,466.06","","0.54%"
"02/10/2009","4,505.54","4,636.64","4,649.23","4,505.54","","-3.46%"
"02/09/2009","4,666.82","4,627.83","4,688.59","4,596.74","","0.48%"
"02/06/2009","4,644.63","4,524.80","4,657.06","4,506.45","","2.97%"
"02/05/2009","4,510.49","4,443.95","4,519.44","4,387.78","","0.39%"
"02/04/2009","4,492.79","4,388.26","4,545.52","4,372.01","","2.69%"
"02/03/2009","4,374.96","4,302.52","4,385.44","4,224.53","","2.43%"
"02/02/2009","4,271.04","4,309.17","4,309.19","4,198.15","","-1.55%"
"01/30/2009","4,338.35","4,420.33","4,454.39","4,312.17","","-2.03%"
"01/29/2009","4,428.11","4,495.74","4,501.44","4,393.98","","-2.01%"
"01/28/2009","4,518.72","4,347.78","4,533.70","4,347.78","","4.52%"
"01/27/2009","4,323.42","4,322.99","4,360.79","4,264.97","","-0.08%"
"01/26/2009","4,326.87","4,165.71","4,371.52","4,145.12","","3.54%"
"01/23/2009","4,178.94","4,204.00","4,222.01","4,067.43","","-0.96%"
"01/22/2009","4,219.42","4,313.36","4,368.47","4,197.02","","-0.98%"
"01/21/2009","4,261.15","4,208.19","4,313.69","4,140.26","","0.50%"
"01/20/2009","4,239.85","4,297.42","4,382.11","4,222.76","","-1.77%"
"01/19/2009","4,316.14","4,409.88","4,452.57","4,249.91","","-1.15%"
"01/16/2009","4,366.28","4,395.79","4,474.86","4,357.82","","0.68%"
"01/15/2009","4,336.73","4,434.22","4,451.32","4,295.76","","-1.94%"
"01/14/2009","4,422.35","4,661.84","4,670.84","4,379.88","","-4.63%"
"01/13/2009","4,636.94","4,704.51","4,704.51","4,596.49","","-1.75%"
"01/12/2009","4,719.62","4,765.38","4,791.96","4,708.50","","-1.34%"
"01/09/2009","4,783.89","4,891.58","4,932.66","4,743.97","","-1.97%"
"01/08/2009","4,879.91","4,897.16","4,917.62","4,820.08","","-1.17%"
"01/07/2009","4,937.47","5,008.62","5,010.97","4,914.22","","-1.77%"
"01/06/2009","5,026.31","4,992.67","5,111.02","4,960.21","","0.85%"
"01/05/2009","4,983.99","5,010.18","5,034.85","4,949.36","","0.22%"
"01/02/2009","4,973.07","4,856.85","4,974.73","4,838.49","","3.39%"
"12/30/2008","4,810.20","4,754.22","4,810.41","4,754.22","","2.24%"
"12/29/2008","4,704.86","4,660.17","4,732.85","4,655.91","","1.63%"
"12/26/2008","4,629.38","4,629.38","4,629.38","4,629.38","","0.00%"
"12/24/2008","4,629.38","4,629.38","4,629.38","4,629.38","","0.00%"
"12/23/2008","4,629.38","4,633.47","4,718.60","4,622.97","","-0.21%"
"12/22/2008","4,639.02","4,693.66","4,701.11","4,575.52","","-1.23%"
"12/19/2008","4,696.70","4,720.88","4,785.32","4,647.13","","-1.26%"
"12/18/2008","4,756.40","4,730.10","4,784.72","4,715.82","","1.02%"
"12/17/2008","4,708.38","4,768.71","4,784.41","4,639.17","","-0.46%"
"12/16/2008","4,729.91","4,663.36","4,758.27","4,655.87","","1.61%"
"12/15/2008","4,654.82","4,718.39","4,773.32","4,627.46","","-0.18%"
"12/12/2008","4,663.37","4,660.05","4,699.06","4,521.52","","-2.18%"
"12/11/2008","4,767.20","4,791.56","4,822.21","4,710.04","","-0.78%"
"12/10/2008","4,804.88","4,810.48","4,839.14","4,742.90","","0.54%"
"12/09/2008","4,779.11","4,673.52","4,850.39","4,622.24","","1.34%"
"12/08/2008","4,715.88","4,548.87","4,775.71","4,548.87","","7.63%"
"12/05/2008","4,381.47","4,529.20","4,530.70","4,321.64","","-4.00%"
"12/04/2008","4,564.23","4,559.98","4,732.93","4,491.86","","-0.07%"
"12/03/2008","4,567.24","4,508.88","4,602.88","4,377.63","","0.78%"
"12/02/2008","4,531.79","4,349.13","4,572.18","4,304.03","","3.12%"
"12/01/2008","4,394.79","4,653.12","4,667.91","4,367.92","","-5.88%"
"11/28/2008","4,669.44","4,666.41","4,703.67","4,566.84","","0.09%"
"11/27/2008","4,665.27","4,596.40","4,682.91","4,589.16","","2.30%"
"11/26/2008","4,560.50","4,528.55","4,612.22","4,423.67","","0.00%"
"11/25/2008","4,560.42","4,521.85","4,693.10","4,455.30","","0.13%"
"11/24/2008","4,554.33","4,167.71","4,579.07","4,154.55","","10.34%"
"11/21/2008","4,127.41","4,228.31","4,296.86","4,034.96","","-2.20%"
"11/20/2008","4,220.20","4,274.98","4,313.16","4,113.49","","-3.08%"
"11/19/2008","4,354.09","4,586.33","4,586.69","4,337.92","","-4.92%"
"11/18/2008","4,579.47","4,556.48","4,607.54","4,445.88","","0.49%"
"11/17/2008","4,557.27","4,700.50","4,733.79","4,512.21","","-3.25%"
"11/14/2008","4,710.24","4,723.29","4,874.16","4,695.79","","1.31%"
"11/13/2008","4,649.52","4,599.64","4,713.78","4,524.89","","0.62%"
"11/12/2008","4,620.80","4,801.90","4,875.66","4,555.44","","-2.96%"
"11/11/2008","4,761.58","4,984.32","4,984.32","4,742.48","","-5.25%"
"11/10/2008","5,025.53","5,024.43","5,135.15","4,998.04","","1.76%"
"11/07/2008","4,938.46","4,827.56","5,018.41","4,751.24","","2.59%"
