"Date","Price","Open","High","Low","Vol.","Change %"
"12/10/1999","18,271.85","18,271.85","18,271.85","18,271.85","","0.06%"
"12/09/1999","18,260.72","18,260.72","18,260.72","18,260.72","","-0.76%"
"12/08/1999","18,401.20","18,401.20","18,401.20","18,401.20","","-1.04%"
"12/07/1999","18,593.96","18,593.96","18,593.96","18,593.96","","0.47%"
"12/06/1999","18,507.20","18,507.20","18,507.20","18,507.20","","0.76%"
"12/03/1999","18,368.14","18,368.14","18,368.14","18,368.14","","-0.79%"
"12/02/1999","18,514.41","18,514.41","18,514.41","18,514.41","","0.10%"
"12/01/1999","18,495.95","18,495.95","18,495.95","18,495.95","","-0.34%"
"11/30/1999","18,558.23","18,558.23","18,558.23","18,558.23","","-1.55%"
"11/29/1999","18,850.27","18,850.27","18,850.27","18,850.27","","-0.34%"
"11/26/1999","18,914.50","18,914.50","18,914.50","18,914.50","","1.03%"
"11/25/1999","18,721.78","18,721.78","18,721.78","18,721.78","","-0.92%"
"11/24/1999","18,896.21","18,896.21","18,896.21","18,896.21","","0.39%"
"11/22/1999","18,822.12","18,822.12","18,822.12","18,822.12","","1.35%"
"11/19/1999","18,570.84","18,570.84","18,570.84","18,570.84","","0.21%"
"11/18/1999","18,532.81","18,532.81","18,532.81","18,532.81","","1.41%"
"11/17/1999","18,274.82","18,274.82","18,274.82","18,274.82","","0.66%"
"11/16/1999","18,155.14","18,155.14","18,155.14","18,155.14","","-0.24%"
"11/15/1999","18,198.09","18,198.09","18,198.09","18,198.09","","-0.33%"
"11/12/1999","18,258.55","18,258.55","18,258.55","18,258.55","","-0.38%"
"11/11/1999","18,327.28","18,327.28","18,327.28","18,327.28","","-1.30%"
"11/10/1999","18,567.87","18,567.87","18,567.87","18,567.87","","1.51%"
"11/09/1999","18,292.16","18,292.16","18,292.16","18,292.16","","0.28%"
"11/08/1999","18,240.98","18,240.98","18,240.98","18,240.98","","-0.62%"
"11/05/1999","18,354.90","18,354.90","18,354.90","18,354.90","","0.04%"
"11/04/1999","18,348.13","18,348.13","18,348.13","18,348.13","","1.98%"
"11/02/1999","17,991.96","17,991.96","17,991.96","17,991.96","","-0.03%"
"11/01/1999","17,996.92","17,996.92","17,996.92","17,996.92","","0.31%"
"10/29/1999","17,942.08","17,942.08","17,942.08","17,942.08","","3.03%"
"10/28/1999","17,413.71","17,413.71","17,413.71","17,413.71","","0.18%"
"10/27/1999","17,382.36","17,382.36","17,382.36","17,382.36","","-1.64%"
"10/26/1999","17,671.79","17,671.79","17,671.79","17,671.79","","0.13%"
"10/25/1999","17,648.79","17,648.79","17,648.79","17,648.79","","1.20%"
"10/22/1999","17,438.80","17,438.80","17,438.80","17,438.80","","-0.05%"
"10/21/1999","17,448.27","17,448.27","17,448.27","17,448.27","","-0.49%"
"10/20/1999","17,534.71","17,534.71","17,534.71","17,534.71","","1.63%"
"10/19/1999","17,254.17","17,254.17","17,254.17","17,254.17","","-0.12%"
"10/18/1999","17,275.33","17,275.33","17,275.33","17,275.33","","-1.85%"
"10/15/1999","17,601.57","17,601.57","17,601.57","17,601.57","","-1.00%"
"10/14/1999","17,780.26","17,780.26","17,780.26","17,780.26","","0.15%"
"10/13/1999","17,754.49","17,754.49","17,754.49","17,754.49","","-1.86%"
"10/12/1999","18,090.81","18,090.81","18,090.81","18,090.81","","0.16%"
"10/08/1999","18,062.18","18,062.18","18,062.18","18,062.18","","-0.41%"
"10/07/1999","18,136.55","18,136.55","18,136.55","18,136.55","","1.34%"
"10/06/1999","17,896.42","17,896.42","17,896.42","17,896.42","","0.63%"
"10/05/1999","17,784.15","17,784.15","17,784.15","17,784.15","","0.12%"
"10/04/1999","17,763.71","17,763.71","17,763.71","17,763.71","","0.29%"
"10/01/1999","17,712.56","17,712.56","17,712.56","17,712.56","","0.61%"
"09/30/1999","17,605.46","17,605.46","17,605.46","17,605.46","","1.87%"
"09/29/1999","17,282.28","17,282.28","17,282.28","17,282.28","","-0.25%"
"09/28/1999","17,325.70","17,325.70","17,325.70","17,325.70","","3.00%"
"09/27/1999","16,821.06","16,821.06","16,821.06","16,821.06","","-0.30%"
"09/24/1999","16,871.73","16,871.73","16,871.73","16,871.73","","-2.62%"
"09/22/1999","17,325.76","17,325.76","17,325.76","17,325.76","","-3.39%"
"09/21/1999","17,932.79","17,932.79","17,932.79","17,932.79","","2.03%"
"09/20/1999","17,575.26","17,575.26","17,575.26","17,575.26","","1.34%"
"09/17/1999","17,342.27","17,342.27","17,342.27","17,342.27","","0.29%"
"09/16/1999","17,291.59","17,291.59","17,291.59","17,291.59","","-2.73%"
"09/14/1999","17,777.22","17,777.22","17,777.22","17,777.22","","-0.74%"
"09/13/1999","17,909.29","17,909.29","17,909.29","17,909.29","","1.12%"
"09/10/1999","17,711.02","17,711.02","17,711.02","17,711.02","","0.19%"
"09/09/1999","17,677.56","17,677.56","17,677.56","17,677.56","","0.21%"
"09/08/1999","17,641.38","17,641.38","17,641.38","17,641.38","","-0.37%"
"09/07/1999","17,707.50","17,707.50","17,707.50","17,707.50","","-0.28%"
"09/06/1999","17,756.51","17,756.51","17,756.51","17,756.51","","0.72%"
"09/03/1999","17,629.99","17,629.99","17,629.99","17,629.99","","-0.01%"
"09/02/1999","17,631.25","17,631.25","17,631.25","17,631.25","","-0.96%"
"09/01/1999","17,802.48","17,802.48","17,802.48","17,802.48","","2.10%"
"08/31/1999","17,436.56","17,436.56","17,436.56","17,436.56","","-2.69%"
"08/30/1999","17,918.97","17,918.97","17,918.97","17,918.97","","1.82%"
"08/27/1999","17,599.37","17,599.37","17,599.37","17,599.37","","-0.38%"
"08/26/1999","17,666.29","17,666.29","17,666.29","17,666.29","","-1.06%"
"08/25/1999","17,855.16","17,855.16","17,855.16","17,855.16","","-1.33%"
